Date,Open,High,Low,Close,Adj Close,Volume,Previous_open,Previous_high,Previous_low
14-04-2022,41160.21875,41451.48047,39695.74609,39935.51563,39935.51563,24342001973.00,40123.57031,41430.05469,39712.74609
15-04-2022,39939.40234,40617.72266,39866.83203,40553.46484,40553.46484,21756855753.00,41160.21875,41451.48047,39695.74609
16-04-2022,40552.31641,40633.67969,40078.42578,40424.48438,40424.48438,16833150693.00,39939.40234,40617.72266,39866.83203
17-04-2022,40417.77734,40570.72656,39620.89453,39716.95313,39716.95313,19087633042.00,40552.31641,40633.67969,40078.42578
18-04-2022,39721.20313,40986.32031,38696.19141,40826.21484,40826.21484,33705182072.00,40417.77734,40570.72656,39620.89453
19-04-2022,40828.17578,41672.96094,40618.63281,41502.75,41502.75,25303206547.00,39721.20313,40986.32031,38696.19141
20-04-2022,41501.74609,42126.30078,40961.09766,41374.37891,41374.37891,27819532341.00,40828.17578,41672.96094,40618.63281
21-04-2022,41371.51563,42893.58203,40063.82813,40527.36328,40527.36328,35372786395.00,41501.74609,42126.30078,40961.09766
22-04-2022,40525.86328,40777.75781,39315.41797,39740.32031,39740.32031,28011716745.00,41371.51563,42893.58203,40063.82813
23-04-2022,39738.72266,39935.85938,39352.20313,39486.73047,39486.73047,16138021249.00,40525.86328,40777.75781,39315.41797
24-04-2022,39478.375,39845.92578,39233.53906,39469.29297,39469.29297,17964398167.00,39738.72266,39935.85938,39352.20313
25-04-2022,39472.60547,40491.75391,38338.37891,40458.30859,40458.30859,35445730570.00,39478.375,39845.92578,39233.53906
26-04-2022,40448.42188,40713.89063,37884.98438,38117.46094,38117.46094,34569088416.00,39472.60547,40491.75391,38338.37891
27-04-2022,38120.30078,39397.91797,37997.3125,39241.12109,39241.12109,30981015184.00,40448.42188,40713.89063,37884.98438
28-04-2022,39241.42969,40269.46484,38941.42188,39773.82813,39773.82813,33903704907.00,38120.30078,39397.91797,37997.3125
29-04-2022,39768.61719,39887.26953,38235.53516,38609.82422,38609.82422,30882994649.00,39241.42969,40269.46484,38941.42188
